#,Summary,Status,Assignee,Pri,Notes,Area,Area Notes,Effort,Weeks,,
Support Lockbox on Desktop (P1),,,,,,,,,,,
1529729,"Change all ""Saved Logins"" entry points to open Lockbox instead of toolkit management interface, when installed",RESOLVED,MattN,P2,,Management view,Finite and straightforward,Easy,1,,
GH74,Prevent built-in prompts from Firefox while adding/editing entries in the management interface,RESOLVED,lmorchard,P1,,,,,1,,
1533925,Allow embedded web extensions to serve/register about: pages,ASSIGNED,MattN,P2,Request uplift after baking,,,,1,,
No bug,Help address Talos performance regressions,NEW,,,Not an explicit ask but likely to happen,Firefox Integration Support,Unpredictable. rhelmer can help with automation,Medium to Hard,3,,
,,,,,,,,,,,
Improve Discoverability of Saved Logins (P1),,,,,,,,,,,
1189618,"Add a ""View Saved Logins"" footer to the password manager autocomplete popup",VERIFIED,prathiksha,P2,,New management entry points (these are also requirements from Lockbox),Finite and straightforward,Easy,0,,
1530029,Pressing enter on the autocomplete footer should open the password manager dialog,VERIFIED,prathiksha,P2,,,,,1,,
1534896,Don't close the login autocomplete popup when the search string becomes empty,RESOLVED,MattN,P2,,,,,0,,
1534903,Don't automatically show only the View Saved Logins footer upon focusing a non-empty secure password field,RESOLVED,MattN,P2,,,,,0,,
1534442,Turn on 'View Saved Logins' autocomplete footer by default on desktop,RESOLVED,prathiksha,P1,Request uplift after baking,,,,0,,
1533206,Center the login autocomplete footer text,RESOLVED,prathiksha,P1,,,,,0.5,,
1538285,"""View Saved Logins"" text have no contrast with a Dark GTK Theme",ASSIGNED,sfoster,P1,Request uplift,,,,0.5,,
1534447,Add an entry point to access saved logins from the main menu,RESOLVED,sfoster,P1,String landed in 67. Land after soft-code freeze then request uplift after baking,,,,2,,
1330561,Autofill/Autocomplete/Insecure warning doesn't auto-open in username field right away in a new tab,RESOLVED,jaws,P1,Affects github.com,Fix existing discoverability features,,,1,,
936026,Password fields not re-filled and login autocomplete not attached after back/forward navigation,RESOLVED,MattN,P1,Depends on 1287202 to land,,,,1,,
,Add per-entry point telemetry,NEW,,P1,68 is fine,,,,,,
,,,,,,,,,,,
Improve Reliability (P1),,,,,,,,,,,
1287202,Run login capture code upon page navigation if there are password fields present in a <form>,RESOLVED,MattN,P1,Likely perf. work or follow-up cases. Ready to land after soft code freeze. Depended on 1529946,Prompt to save logins from fields inside <form> but not using a ‘submit’ event,"A few heuristics possible, see related bugs",Hard due to perf. and potential false-positives,2,,
,"Figure out follow-ups of things not captured from above and prioritize (Hulu, iCloud, 1536728, etc.)",NEW,MattN,P1,,,,,4,,
1294194,Don't prompt to re-save a filled login when used on a different origin,RESOLVED,jaws,P1,,Reduced duplicate logins saved due to logins shared between related origins,Can also handle ports and http auth if we have time. No cross-domain.,Easy once we have 1294194 and the first dedupe bug,5,,
